Tue Jan 27 12:48:00 MST 2026: ⚠️  Sync service not running (stale PID: 49289). Restarting...
Starting Truth Forge Sync Service...
✅ Sync service started (PID: 49643)
   Logs: /Users/jeremyserna/truth_forge/auto_sync.log
   PID file: /Users/jeremyserna/truth_forge/data/local/sync_service.pid
❌ Service failed to start. Check logs: /Users/jeremyserna/truth_forge/auto_sync.log
Tue Jan 27 12:48:02 MST 2026: ❌ Failed to restart sync service
Tue Jan 27 12:49:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 12:50:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 12:51:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 12:52:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 12:53:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 12:54:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 12:55:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 12:56:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 12:57:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 12:58:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 12:59:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:00:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:01:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:02:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:03:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:04:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:05:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:06:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:07:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:08:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:09:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:10:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:11:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:12:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:13:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:14:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:15:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:16:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:17:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:18:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:19:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:20:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:21:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:22:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:23:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:24:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:25:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:26:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:27:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:28:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:29:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:30:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:31:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:32:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:33:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:34:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:35:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:36:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:37:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:38:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:39:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:40:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:41:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:42:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:43:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:44:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:45:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:46:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:47:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:48:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:49:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:50:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:51:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:52:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:53:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:54:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:55:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:56:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:57:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:58:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 13:59:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:00:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:01:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:02:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:03:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:04:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:05:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:06:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:07:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:08:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:09:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:10:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:11:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:12:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:13:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:14:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:15:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:16:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:17:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:18:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:19:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:20:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:21:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:22:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:23:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:24:59 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:25:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:26:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:27:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:28:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:29:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:30:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:31:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:32:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:33:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:34:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:35:00 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:36:01 MST 2026: ✅ Sync service running (PID: 50271)
Tue Jan 27 14:38:00 MST 2026: ⚠️  Sync service not running (stale PID: 50271). Restarting...
Set GCP_PROJECT_ID to 81233637196
Starting Truth Forge Sync Service...
✅ Sync service started (PID: 1195)
   Logs: /Users/jeremyserna/truth_forge/auto_sync.log
   PID file: /Users/jeremyserna/truth_forge/data/local/sync_service.pid
✅ Service is running
Tue Jan 27 14:38:03 MST 2026: ✅ Sync service restarted successfully
Tue Jan 27 14:39:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:40:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:41:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:42:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:43:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:44:01 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:45:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:46:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:47:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:48:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:49:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:50:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:51:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:52:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:53:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:54:01 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:55:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:56:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:57:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:58:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 14:59:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:00:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:01:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:02:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:03:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:04:01 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:05:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:06:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:07:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:08:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:09:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:10:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:11:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:12:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:13:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:14:01 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:15:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:16:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:17:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:18:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:19:00 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:20:01 MST 2026: ✅ Sync service running (PID: 1195)
Tue Jan 27 15:21:00 MST 2026: ✅ Sync service running (PID: 1195)
